source_org_id,concept_label,weight
AU_AU63942912684_3863ba3116,Genome-wide association study,0.6568895578384399
AU_AU63942912684_3863ba3116,Genotype,0.1376085877418518
AU_AU63942912684_3863ba3116,Human genome,0.531373918056488
AU_AU63942912684_3863ba3116,Incidence (geometry),0.6343108415603638
AU_AU63942912684_3863ba3116,Internal medicine,0.23355814814567566
AU_AU63942912684_3863ba3116,Life expectancy,0.27504870295524597
AU_AU63942912684_3863ba3116,Mathematics,0.0
AU_AU63942912684_3863ba3116,Medicine,1.548352837562561
AU_AU63942912684_3863ba3116,Optics,0.0
AU_AU63942912684_3863ba3116,Pathology,0.0
AU_AU63942912684_3863ba3116,Pediatrics,0.3614473044872284
AU_AU63942912684_3863ba3116,Physics,0.0
AU_AU63942912684_3863ba3116,Population,0.16413837671279907
AU_AU63942912684_3863ba3116,Regression,0.5772796273231506
AU_AU63942912684_3863ba3116,Relative risk,0.5610102415084839
AU_AU63942912684_3863ba3116,Risk assessment,0.5756056904792786
AU_AU63942912684_3863ba3116,Risk factor,0.5091940760612488
AU_AU63942912684_3863ba3116,Single-nucleotide polymorphism,0.3107938766479492
AU_AU63942912684_3863ba3116,Sociology,0.0
AU_AU63942912684_3863ba3116,Statistics,0.16823989152908325
AU_AU63942912684_3863ba3116,Years of potential life lost,0.5815194249153137
AU_AU77257686961_efeacf55b3,Artificial intelligence,0.2990652024745941
AU_AU77257686961_efeacf55b3,Bayesian probability,0.4909992516040802
AU_AU77257686961_efeacf55b3,Computer science,0.6489442586898804
AU_AU77257686961_efeacf55b3,Data mining,0.3623112440109253
AU_AU77257686961_efeacf55b3,Data science,0.5901833176612854
AU_AU77257686961_efeacf55b3,Economics,0.0
AU_AU77257686961_efeacf55b3,Geodesy,0.0
AU_AU77257686961_efeacf55b3,Geography,0.1138608455657959
AU_AU77257686961_efeacf55b3,Hierarchy,0.5163037180900574
AU_AU77257686961_efeacf55b3,Inference,0.45092201232910156
AU_AU77257686961_efeacf55b3,Market economy,0.0
AU_AU77257686961_efeacf55b3,Pace,0.4106293320655823
AU_AU77257686961_efeacf55b3,Programming language,0.0
AU_AU77257686961_efeacf55b3,Software,0.6266711950302124
AU_AU77257686961_efeacf55b3,Software development,0.43283161520957947
AU_AU81633873422_a3f63ed85e,Bioinformatics,0.2061787247657776
AU_AU81633873422_a3f63ed85e,Biology,0.3179319202899933
AU_AU81633873422_a3f63ed85e,Computational biology,0.5356760621070862
AU_AU81633873422_a3f63ed85e,Computer science,0.581027090549469
AU_AU81633873422_a3f63ed85e,Data science,0.3914947807788849
AU_AU81633873422_a3f63ed85e,Database,0.15453827381134033
AU_AU81633873422_a3f63ed85e,Extensibility,0.6170313954353333
AU_AU81633873422_a3f63ed85e,Microbiome,0.7692012786865234
AU_AU81633873422_a3f63ed85e,Programming language,0.11720123887062073
AU_AU81633873422_a3f63ed85e,Scalability,0.6612159013748169
AU_GRIFFITH_UNIVERSITY_948f51e241,ATG8,0.5880008339881897
AU_GRIFFITH_UNIVERSITY_948f51e241,Apoptosis,0.0
AU_GRIFFITH_UNIVERSITY_948f51e241,Autophagosome,0.7631988525390625
AU_GRIFFITH_UNIVERSITY_948f51e241,Autophagy,0.9595129489898682
AU_GRIFFITH_UNIVERSITY_948f51e241,Biochemistry,0.2146838903427124
AU_GRIFFITH_UNIVERSITY_948f51e241,Biogenesis,0.5590387582778931
AU_GRIFFITH_UNIVERSITY_948f51e241,Biology,0.7072432041168213
AU_GRIFFITH_UNIVERSITY_948f51e241,Cause of death,0.5558197498321533
AU_GRIFFITH_UNIVERSITY_948f51e241,Cell,0.2458903193473816
AU_GRIFFITH_UNIVERSITY_948f51e241,Cell biology,0.6620039939880371
AU_GRIFFITH_UNIVERSITY_948f51e241,Covariate,0.6156277656555176
AU_GRIFFITH_UNIVERSITY_948f51e241,Cytoplasm,0.1116902232170105
AU_GRIFFITH_UNIVERSITY_948f51e241,Demography,0.543491542339325
AU_GRIFFITH_UNIVERSITY_948f51e241,Disease,0.39989426732063293
AU_GRIFFITH_UNIVERSITY_948f51e241,Gene,0.0
AU_GRIFFITH_UNIVERSITY_948f51e241,Intracellular,0.257116436958313
AU_GRIFFITH_UNIVERSITY_948f51e241,Mathematics,0.15310701727867126
AU_GRIFFITH_UNIVERSITY_948f51e241,Medicine,0.5180118680000305
AU_GRIFFITH_UNIVERSITY_948f51e241,Missing data,0.43697911500930786
AU_GRIFFITH_UNIVERSITY_948f51e241,Multicellular organism,0.5740522146224976
AU_GRIFFITH_UNIVERSITY_948f51e241,Pathology,0.0
AU_GRIFFITH_UNIVERSITY_948f51e241,Phagosome,0.5928187370300293
AU_GRIFFITH_UNIVERSITY_948f51e241,Sociology,0.0
AU_GRIFFITH_UNIVERSITY_948f51e241,Statistics,0.4522966146469116
AU_GRIFFITH_UNIVERSITY_948f51e241,Vacuole,0.6125640869140625
AU_JAMES_COOK_UNIVERSITY_3901d4504a,Cause of death,0.5558197498321533
AU_JAMES_COOK_UNIVERSITY_3901d4504a,Covariate,0.6156277656555176
AU_JAMES_COOK_UNIVERSITY_3901d4504a,Demography,0.543491542339325
AU_JAMES_COOK_UNIVERSITY_3901d4504a,Disease,0.39989426732063293
AU_JAMES_COOK_UNIVERSITY_3901d4504a,Mathematics,0.15310701727867126
AU_JAMES_COOK_UNIVERSITY_3901d4504a,Medicine,0.5180118680000305
AU_JAMES_COOK_UNIVERSITY_3901d4504a,Missing data,0.43697911500930786
AU_JAMES_COOK_UNIVERSITY_3901d4504a,Pathology,0.0
AU_JAMES_COOK_UNIVERSITY_3901d4504a,Sociology,0.0
AU_JAMES_COOK_UNIVERSITY_3901d4504a,Statistics,0.4522966146469116
AU_MACQUARIE_UNIVERSITY_1128ded12a,ATG8,0.5880008339881897
AU_MACQUARIE_UNIVERSITY_1128ded12a,Apoptosis,0.0
AU_MACQUARIE_UNIVERSITY_1128ded12a,Autophagosome,0.7631988525390625
AU_MACQUARIE_UNIVERSITY_1128ded12a,Autophagy,0.9595129489898682
AU_MACQUARIE_UNIVERSITY_1128ded12a,Biochemistry,0.2146838903427124
AU_MACQUARIE_UNIVERSITY_1128ded12a,Biogenesis,0.5590387582778931
AU_MACQUARIE_UNIVERSITY_1128ded12a,Biology,0.7072432041168213
AU_MACQUARIE_UNIVERSITY_1128ded12a,Cell,0.2458903193473816
AU_MACQUARIE_UNIVERSITY_1128ded12a,Cell biology,0.6620039939880371
AU_MACQUARIE_UNIVERSITY_1128ded12a,Cytoplasm,0.1116902232170105
AU_MACQUARIE_UNIVERSITY_1128ded12a,Gene,0.0
AU_MACQUARIE_UNIVERSITY_1128ded12a,Intracellular,0.257116436958313
AU_MACQUARIE_UNIVERSITY_1128ded12a,Multicellular organism,0.5740522146224976
AU_MACQUARIE_UNIVERSITY_1128ded12a,Phagosome,0.5928187370300293
AU_MACQUARIE_UNIVERSITY_1128ded12a,Vacuole,0.6125640869140625
AU_MONASH_UNIVERSITY_5adf1e4746,Attributable risk,0.6161518692970276
AU_MONASH_UNIVERSITY_5adf1e4746,Burden of disease,0.7023000121116638
AU_MONASH_UNIVERSITY_5adf1e4746,Cause of death,0.5558197498321533
AU_MONASH_UNIVERSITY_5adf1e4746,Checklist,2.691228985786438
AU_MONASH_UNIVERSITY_5adf1e4746,Clinical trial,0.42311277985572815
AU_MONASH_UNIVERSITY_5adf1e4746,Cognitive psychology,0.0
AU_MONASH_UNIVERSITY_5adf1e4746,Computer science,0.7714694738388062
AU_MONASH_UNIVERSITY_5adf1e4746,Computer security,0.0
AU_MONASH_UNIVERSITY_5adf1e4746,Confidence interval,0.2946649193763733
AU_MONASH_UNIVERSITY_5adf1e4746,Covariate,0.6156277656555176
AU_MONASH_UNIVERSITY_5adf1e4746,Demography,0.8899788856506348
AU_MONASH_UNIVERSITY_5adf1e4746,Disability-adjusted life year,0.5846619009971619
AU_MONASH_UNIVERSITY_5adf1e4746,Disease,1.4153070151805878
AU_MONASH_UNIVERSITY_5adf1e4746,Disease burden,0.6051012277603149
AU_MONASH_UNIVERSITY_5adf1e4746,Engineering,0.24265170097351074
AU_MONASH_UNIVERSITY_5adf1e4746,Environmental health,0.7141213417053223
AU_MONASH_UNIVERSITY_5adf1e4746,Epidemiology,0.4713418185710907
AU_MONASH_UNIVERSITY_5adf1e4746,Expert opinion,0.6715271472930908
AU_MONASH_UNIVERSITY_5adf1e4746,Family medicine,0.3640426993370056
AU_MONASH_UNIVERSITY_5adf1e4746,Genetic testing,0.5166433453559875
AU_MONASH_UNIVERSITY_5adf1e4746,Guideline,2.0692089796066284
AU_MONASH_UNIVERSITY_5adf1e4746,Immunology,0.31963467597961426
AU_MONASH_UNIVERSITY_5adf1e4746,Intensive care medicine,1.1516281366348267
AU_MONASH_UNIVERSITY_5adf1e4746,Internal medicine,0.6102143824100494
AU_MONASH_UNIVERSITY_5adf1e4746,Law,0.0
AU_MONASH_UNIVERSITY_5adf1e4746,Leukemia,0.2953142523765564
AU_MONASH_UNIVERSITY_5adf1e4746,Life expectancy,0.27504870295524597
AU_MONASH_UNIVERSITY_5adf1e4746,Linguistics,0.0
AU_MONASH_UNIVERSITY_5adf1e4746,MEDLINE,1.7640868723392487
AU_MONASH_UNIVERSITY_5adf1e4746,Management science,1.0363386869430542
AU_MONASH_UNIVERSITY_5adf1e4746,Mathematics,0.15310701727867126
AU_MONASH_UNIVERSITY_5adf1e4746,Medical education,0.34172967076301575
AU_MONASH_UNIVERSITY_5adf1e4746,Medical physics,0.6983343362808228
AU_MONASH_UNIVERSITY_5adf1e4746,Medicine,5.138530999422073
AU_MONASH_UNIVERSITY_5adf1e4746,Meta-analysis,0.3769868016242981
AU_MONASH_UNIVERSITY_5adf1e4746,Minimal residual disease,0.562143862247467
AU_MONASH_UNIVERSITY_5adf1e4746,Missing data,0.43697911500930786
AU_MONASH_UNIVERSITY_5adf1e4746,Myeloid leukemia,0.4520180821418762
AU_MONASH_UNIVERSITY_5adf1e4746,Oncology,0.4002456068992615
AU_MONASH_UNIVERSITY_5adf1e4746,Organ dysfunction,0.665127694606781
AU_MONASH_UNIVERSITY_5adf1e4746,Pathology,0.33951711654663086
AU_MONASH_UNIVERSITY_5adf1e4746,Philosophy,0.0
AU_MONASH_UNIVERSITY_5adf1e4746,Political science,0.11159858107566833
AU_MONASH_UNIVERSITY_5adf1e4746,Population,0.16413837671279907
AU_MONASH_UNIVERSITY_5adf1e4746,Presentation (obstetrics),1.5154308378696442
AU_MONASH_UNIVERSITY_5adf1e4746,Psychology,0.602461963891983
AU_MONASH_UNIVERSITY_5adf1e4746,Publication bias,0.4742540419101715
AU_MONASH_UNIVERSITY_5adf1e4746,Radiology,0.0
AU_MONASH_UNIVERSITY_5adf1e4746,Randomized controlled trial,0.5045734643936157
AU_MONASH_UNIVERSITY_5adf1e4746,Relative risk,0.5610102415084839
AU_MONASH_UNIVERSITY_5adf1e4746,Risk assessment,0.5756056904792786
AU_MONASH_UNIVERSITY_5adf1e4746,Risk factor,0.5091940760612488
AU_MONASH_UNIVERSITY_5adf1e4746,SOFA score,0.5207162499427795
AU_MONASH_UNIVERSITY_5adf1e4746,Sepsis,0.8699451088905334
AU_MONASH_UNIVERSITY_5adf1e4746,Septic shock,0.8011101484298706
AU_MONASH_UNIVERSITY_5adf1e4746,Shock (circulatory),0.44265931844711304
AU_MONASH_UNIVERSITY_5adf1e4746,Sociology,0.0
AU_MONASH_UNIVERSITY_5adf1e4746,Statement (logic),1.819906771183014
AU_MONASH_UNIVERSITY_5adf1e4746,Statistics,0.4522966146469116
AU_MONASH_UNIVERSITY_5adf1e4746,Surgery,0.0615411102771759
AU_MONASH_UNIVERSITY_5adf1e4746,Systematic review,3.0787189602851868
AU_MONASH_UNIVERSITY_5adf1e4746,Systemic inflammatory response syndrome,0.5821648836135864
AU_MONASH_UNIVERSITY_5adf1e4746,Terminology,1.7844640612602234
AU_MONASH_UNIVERSITY_5adf1e4746,Years of potential life lost,0.5815194249153137
AU_THE_UNIVERSITY_OF_WESTERN_AUSTRALIA_f7d6b2c258,Attributable risk,0.6161518692970276
AU_THE_UNIVERSITY_OF_WESTERN_AUSTRALIA_f7d6b2c258,Biology,0.3964592218399048
AU_THE_UNIVERSITY_OF_WESTERN_AUSTRALIA_f7d6b2c258,Burden of disease,0.7023000121116638
AU_THE_UNIVERSITY_OF_WESTERN_AUSTRALIA_f7d6b2c258,Computer science,0.0
AU_THE_UNIVERSITY_OF_WESTERN_AUSTRALIA_f7d6b2c258,Computer security,0.0
AU_THE_UNIVERSITY_OF_WESTERN_AUSTRALIA_f7d6b2c258,Confidence interval,0.2946649193763733
AU_THE_UNIVERSITY_OF_WESTERN_AUSTRALIA_f7d6b2c258,Demography,0.3464873433113098
AU_THE_UNIVERSITY_OF_WESTERN_AUSTRALIA_f7d6b2c258,Disability-adjusted life year,0.5846619009971619
AU_THE_UNIVERSITY_OF_WESTERN_AUSTRALIA_f7d6b2c258,Disease,1.0170051455497742
AU_THE_UNIVERSITY_OF_WESTERN_AUSTRALIA_f7d6b2c258,Disease burden,0.6051012277603149
AU_THE_UNIVERSITY_OF_WESTERN_AUSTRALIA_f7d6b2c258,Environmental health,0.7141213417053223
AU_THE_UNIVERSITY_OF_WESTERN_AUSTRALIA_f7d6b2c258,Gene,0.10809144377708435
AU_THE_UNIVERSITY_OF_WESTERN_AUSTRALIA_f7d6b2c258,Genetic architecture,0.43001317977905273
AU_THE_UNIVERSITY_OF_WESTERN_AUSTRALIA_f7d6b2c258,Genetics,0.22789227962493896
AU_THE_UNIVERSITY_OF_WESTERN_AUSTRALIA_f7d6b2c258,Host (biology),0.7231769561767578
